Product_ID,Product_Name,Category,Brand,Price,Rating,Popularity,Discount,Description,Purchase_Status
1,Dell_Gaming Console_0,Gaming Console,Dell,136932,3.0,72,60,Dell Gaming Console premium quality product rating 3.0,1
2,Sony_Laptop_1,Laptop,Sony,92498,4.7,24,2,Sony Laptop premium quality product rating 4.7,0
3,OnePlus_Laptop_2,Laptop,OnePlus,69925,3.0,64,59,OnePlus Laptop premium quality product rating 3.0,0
4,Samsung_Smartwatch_3,Smartwatch,Samsung,135608,3.8,42,59,Samsung Smartwatch premium quality product rating 3.8,0
5,Lenovo_Camera_4,Camera,Lenovo,89654,4.0,55,63,Lenovo Camera premium quality product rating 4.0,1
6,Sony_Television_5,Television,Sony,46606,2.9,39,17,Sony Television premium quality product rating 2.9,1
7,Lenovo_Smartwatch_6,Smartwatch,Lenovo,73148,3.1,92,59,Lenovo Smartwatch premium quality product rating 3.1,0
8,OnePlus_Television_7,Television,OnePlus,115510,2.9,81,35,OnePlus Television premium quality product rating 2.9,0
9,Samsung_Smartwatch_8,Smartwatch,Samsung,83953,3.9,93,62,Samsung Smartwatch premium quality product rating 3.9,1
10,Samsung_Smartwatch_9,Smartwatch,Samsung,42065,4.7,14,47,Samsung Smartwatch premium quality product rating 4.7,0
11,Asus_Camera_10,Camera,Asus,96387,2.6,40,52,Asus Camera premium quality product rating 2.6,1
12,Dell_Smartphone_11,Smartphone,Dell,144643,3.2,29,14,Dell Smartphone premium quality product rating 3.2,0
13,Asus_Smartphone_12,Smartphone,Asus,7568,4.4,8,62,Asus Smartphone premium quality product rating 4.4,1
14,OnePlus_Smartphone_13,Smartphone,OnePlus,18986,4.5,5,40,OnePlus Smartphone premium quality product rating 4.5,1
15,OnePlus_Smartphone_14,Smartphone,OnePlus,118569,2.7,23,61,OnePlus Smartphone premium quality product rating 2.7,0
16,Dell_Headphones_15,Headphones,Dell,15965,4.7,65,46,Dell Headphones premium quality product rating 4.7,1
17,HP_Smartphone_16,Smartphone,HP,103806,4.4,27,8,HP Smartphone premium quality product rating 4.4,1
18,Samsung_Laptop_17,Laptop,Samsung,28419,2.8,63,51,Samsung Laptop premium quality product rating 2.8,1
19,Lenovo_Smartwatch_18,Smartwatch,Lenovo,110878,4.0,15,42,Lenovo Smartwatch premium quality product rating 4.0,0
20,OnePlus_Television_19,Television,OnePlus,80450,4.2,28,65,OnePlus Television premium quality product rating 4.2,1
21,Apple_Camera_20,Camera,Apple,114556,4.7,28,43,Apple Camera premium quality product rating 4.7,1
22,Sony_Camera_21,Camera,Sony,23047,4.5,92,61,Sony Camera premium quality product rating 4.5,0
23,Sony_Smartphone_22,Smartphone,Sony,142848,4.5,3,69,Sony Smartphone premium quality product rating 4.5,1
24,Lenovo_Smartphone_23,Smartphone,Lenovo,8748,4.2,44,23,Lenovo Smartphone premium quality product rating 4.2,1
25,OnePlus_Camera_24,Camera,OnePlus,73840,3.5,62,57,OnePlus Camera premium quality product rating 3.5,1
26,Asus_Camera_25,Camera,Asus,72172,3.2,81,58,Asus Camera premium quality product rating 3.2,1
27,Dell_Laptop_26,Laptop,Dell,117181,2.6,96,0,Dell Laptop premium quality product rating 2.6,0
28,HP_Laptop_27,Laptop,HP,55859,3.6,70,31,HP Laptop premium quality product rating 3.6,1
29,Sony_Gaming Console_28,Gaming Console,Sony,114751,3.1,38,23,Sony Gaming Console premium quality product rating 3.1,1
30,Lenovo_Laptop_29,Laptop,Lenovo,94045,3.8,16,58,Lenovo Laptop premium quality product rating 3.8,0
31,Sony_Television_30,Television,Sony,54811,3.3,36,18,Sony Television premium quality product rating 3.3,1
32,Sony_Gaming Console_31,Gaming Console,Sony,147483,4.1,52,32,Sony Gaming Console premium quality product rating 4.1,0
33,Samsung_Gaming Console_32,Gaming Console,Samsung,16111,2.8,92,56,Samsung Gaming Console premium quality product rating 2.8,0
34,Asus_Gaming Console_33,Gaming Console,Asus,90981,4.2,7,15,Asus Gaming Console premium quality product rating 4.2,1
35,Dell_Smartphone_34,Smartphone,Dell,116472,3.1,48,11,Dell Smartphone premium quality product rating 3.1,1
36,Sony_Tablet_35,Tablet,Sony,12400,3.4,48,2,Sony Tablet premium quality product rating 3.4,1
37,OnePlus_Camera_36,Camera,OnePlus,64040,4.1,75,35,OnePlus Camera premium quality product rating 4.1,1
38,Lenovo_Smartwatch_37,Smartwatch,Lenovo,131063,2.8,99,24,Lenovo Smartwatch premium quality product rating 2.8,0
39,Lenovo_Tablet_38,Tablet,Lenovo,124121,3.7,35,60,Lenovo Tablet premium quality product rating 3.7,0
40,Dell_Smartphone_39,Smartphone,Dell,28328,3.7,48,19,Dell Smartphone premium quality product rating 3.7,0
41,Asus_Tablet_40,Tablet,Asus,91416,3.3,48,58,Asus Tablet premium quality product rating 3.3,0
42,Lenovo_Gaming Console_41,Gaming Console,Lenovo,142965,4.0,51,53,Lenovo Gaming Console premium quality product rating 4.0,1
43,Samsung_Headphones_42,Headphones,Samsung,59045,4.1,64,68,Samsung Headphones premium quality product rating 4.1,0
44,Sony_Tablet_43,Tablet,Sony,107946,4.4,17,43,Sony Tablet premium quality product rating 4.4,1
45,Lenovo_Television_44,Television,Lenovo,41212,4.7,37,23,Lenovo Television premium quality product rating 4.7,0
46,HP_Camera_45,Camera,HP,120294,4.9,97,62,HP Camera premium quality product rating 4.9,0
47,Asus_Tablet_46,Tablet,Asus,123015,3.7,18,24,Asus Tablet premium quality product rating 3.7,0
48,Samsung_Camera_47,Camera,Samsung,108746,3.9,24,31,Samsung Camera premium quality product rating 3.9,1
49,Samsung_Gaming Console_48,Gaming Console,Samsung,61958,3.8,2,16,Samsung Gaming Console premium quality product rating 3.8,1
50,Sony_Smartphone_49,Smartphone,Sony,110510,3.2,26,49,Sony Smartphone premium quality product rating 3.2,1
51,Dell_Television_50,Television,Dell,115627,4.5,65,7,Dell Television premium quality product rating 4.5,1
52,Lenovo_Tablet_51,Tablet,Lenovo,92922,3.3,92,65,Lenovo Tablet premium quality product rating 3.3,1
53,Lenovo_Gaming Console_52,Gaming Console,Lenovo,123834,3.7,63,61,Lenovo Gaming Console premium quality product rating 3.7,0
54,Samsung_Laptop_53,Laptop,Samsung,36024,2.6,70,14,Samsung Laptop premium quality product rating 2.6,0
55,HP_Smartwatch_54,Smartwatch,HP,118632,4.6,60,4,HP Smartwatch premium quality product rating 4.6,1
56,HP_Camera_55,Camera,HP,78523,2.8,30,18,HP Camera premium quality product rating 2.8,1
57,Sony_Gaming Console_56,Gaming Console,Sony,33251,4.4,90,61,Sony Gaming Console premium quality product rating 4.4,1
58,Dell_Smartphone_57,Smartphone,Dell,79740,2.6,1,33,Dell Smartphone premium quality product rating 2.6,0
59,OnePlus_Camera_58,Camera,OnePlus,25056,4.2,1,15,OnePlus Camera premium quality product rating 4.2,1
60,Asus_Tablet_59,Tablet,Asus,21964,4.0,67,25,Asus Tablet premium quality product rating 4.0,0
61,Lenovo_Television_60,Television,Lenovo,98468,2.8,69,46,Lenovo Television premium quality product rating 2.8,0
62,Lenovo_Camera_61,Camera,Lenovo,48919,2.7,48,38,Lenovo Camera premium quality product rating 2.7,0
63,Lenovo_Camera_62,Camera,Lenovo,31646,2.6,69,33,Lenovo Camera premium quality product rating 2.6,0
64,Samsung_Laptop_63,Laptop,Samsung,115226,3.8,1,68,Samsung Laptop premium quality product rating 3.8,1
65,OnePlus_Tablet_64,Tablet,OnePlus,109182,4.9,92,31,OnePlus Tablet premium quality product rating 4.9,1
66,Dell_Tablet_65,Tablet,Dell,16938,4.1,33,60,Dell Tablet premium quality product rating 4.1,1
67,Dell_Television_66,Television,Dell,43304,4.1,43,43,Dell Television premium quality product rating 4.1,0
68,Asus_Smartwatch_67,Smartwatch,Asus,8373,2.5,35,7,Asus Smartwatch premium quality product rating 2.5,0
69,Samsung_Laptop_68,Laptop,Samsung,70953,3.2,7,67,Samsung Laptop premium quality product rating 3.2,1
70,HP_Laptop_69,Laptop,HP,16338,4.7,36,20,HP Laptop premium quality product rating 4.7,1
71,Samsung_Smartwatch_70,Smartwatch,Samsung,43756,4.4,64,48,Samsung Smartwatch premium quality product rating 4.4,1
72,Samsung_Smartwatch_71,Smartwatch,Samsung,75640,4.4,24,22,Samsung Smartwatch premium quality product rating 4.4,1
73,Dell_Television_72,Television,Dell,76180,4.3,99,29,Dell Television premium quality product rating 4.3,1
74,Dell_Camera_73,Camera,Dell,136800,3.3,59,18,Dell Camera premium quality product rating 3.3,0
75,HP_Smartwatch_74,Smartwatch,HP,64163,4.9,52,15,HP Smartwatch premium quality product rating 4.9,1
76,Dell_Headphones_75,Headphones,Dell,147202,3.0,53,22,Dell Headphones premium quality product rating 3.0,1
77,HP_Gaming Console_76,Gaming Console,HP,94780,3.7,39,13,HP Gaming Console premium quality product rating 3.7,1
78,Sony_Television_77,Television,Sony,43102,3.9,75,17,Sony Television premium quality product rating 3.9,1
79,Samsung_Smartphone_78,Smartphone,Samsung,6542,3.6,40,41,Samsung Smartphone premium quality product rating 3.6,0
80,Samsung_Headphones_79,Headphones,Samsung,93092,2.7,83,7,Samsung Headphones premium quality product rating 2.7,0
81,Lenovo_Smartphone_80,Smartphone,Lenovo,137396,4.4,70,30,Lenovo Smartphone premium quality product rating 4.4,1
